player_id,long_name,short_name,nationality,height_cm,last_edition
178603,Mats Hummels,M. Hummels,Germany,191,24
180930,Edin Džeko,E. Džeko,Bosnia and Herzegovina,193,24
183898,Ángel Fabián Di María Hernández,Á. Di María,Argentina,180,24
188350,Marco Reus,M. Reus,Germany,180,24
189332,Jordi Alba Ramos,Jordi Alba,Spain,170,24
189511,Sergio Busquets i Burgos,Sergio Busquets,Spain,189,24
190460,Christian Dannemann Eriksen,C. Eriksen,Denmark,181,24
193301,Alexandre Lacazette,A. Lacazette,France,175,24
199451,Wissam Ben Yedder,W. Ben Yedder,France,170,24
199845,Francesco Acerbi,F. Acerbi,Italy,192,24
200724,José Ignacio Fernández Iglesias,Nacho Fernández,Spain,180,24
201153,Álvaro Borja Morata Martín,Morata,Spain,190,24
202648,Sergi Darder Moll,Sergi Darder,Spain,180,24
202652,Raheem Sterling,R. Sterling,England,170,24
204638,Vilmos Tamás Orban,W. Orban,Hungary,186,24
205498,Luiz Frello Filho Jorge,Jorginho,Italy,178,24
205693,Sébastien Haller,S. Haller,Côte d'Ivoire,191,24
205988,Luke Shaw,L. Shaw,England,181,24
208093,Gerard Moreno Balagueró,Gerard Moreno,Spain,180,24
208333,Emre Can,E. Can,Germany,186,24
208574,Filip Kostić,F. Kostić,Serbia,184,24
210324,Jonas Hofmann,J. Hofmann,Germany,176,24
210406,Piotr Sebastian Zieliński,P. Zieliński,Poland,180,24
210413,Alessio Romagnoli,A. Romagnoli,Italy,185,24
216352,Marcelo Brozović,M. Brozović,Croatia,181,24
216547,Rafael Alexandre Fernandes Ferreira da Silva,Rafa,Portugal,172,24
216594,Nabil Fekir,N. Fekir,France,173,24
220834,Marco Asensio Willemsen,Marco Asensio,Spain,182,24
224179,Borja Iglesias Quintás,Borja Iglesias,Spain,187,24
230481,Ronaldo Jailson Cabrais Petri,Ronaldo Cabrais,Brazil,177,24
248243,Eduardo Celmi Camavinga,E. Camavinga,France,182,24
234577,Diogo Meireles Costa,Diogo Costa,Portugal,192,24
241461,Ferran Torres García,Ferran Torres,Spain,184,24
251517,Joško Gvardiol,J. Gvardiol,Croatia,185,24
253072,Darwin Gabriel Núñez Ribeiro,D. Núñez,Uruguay,187,24
233486,Robin Le Normand,R. Le Normand,Spain,187,24
235790,Kai Lukas Havertz,K. Havertz,Germany,190,24
252145,Nuno Alexandre Tavares Mendes,Nuno Mendes,Portugal,176,24
222077,Manuel Locatelli,M. Locatelli,Italy,185,24
229558,Dayotchanculle Oswald Upamecano,D. Upamecano,France,186,24
232488,Cristian Gabriel Romero,C. Romero,Argentina,185,24
233049,Jadon Sancho,J. Sancho,England,180,24
233084,Nahuel Molina Lucero,N. Molina,Argentina,175,24
236772,Dominik Szoboszlai,D. Szoboszlai,Hungary,186,24
243245,Orkun Kökçü,O. Kökçü,Turkey,175,24
243580,Ikoma Loïs Openda,L. Openda,Belgium,177,24
226268,Federico Dimarco,F. Dimarco,Italy,175,24
227535,Rodrigo Bentancur Colmán,R. Bentancur,Uruguay,187,24
236401,Noussair Mazraoui,N. Mazraoui,Morocco,183,24
240091,Guglielmo Vicario,G. Vicario,Italy,188,24
240950,Pedro António Pereira Gonçalves,Pedro Gonçalves,Portugal,173,24
244369,Viktor Tsygankov,V. Tsygankov,Ukraine,178,24
246242,Boulaye Dia,B. Dia,Senegal,180,24
204935,Jordan Pickford,J. Pickford,England,185,24
216393,Youri Tielemans,Y. Tielemans,Belgium,176,24
223197,Enes Ünal,E. Ünal,Turkey,187,24
223959,Lucas Torreira Di Pascua,L. Torreira,Uruguay,166,24
225850,Presnel Kimpembe,P. Kimpembe,France,189,24
230938,Franck Yannick Kessié,F. Kessié,Côte d'Ivoire,183,24
231447,Donyell Malen,D. Malen,Netherlands,178,24
239837,Alexis Mac Allister,A. Mac Allister,Argentina,176,24
241671,Dominik Livaković,D. Livaković,Croatia,187,24
212188,Timo Werner,T. Werner,Germany,180,24
213565,Thomas Lemar,T. Lemar,France,171,24
223334,Joelinton Cassio Apolinário de Lira,Joelinton,Brazil,186,24
225341,David García Zubiría,David García,Spain,185,24
229237,Manuel Obafemi Akanji,M. Akanji,Switzerland,187,24
229668,Mario Hermoso Canseco,Mario Hermoso,Spain,184,24
235410,Youssef En-Nesyri,Y. En-Nesyri,Morocco,188,24
173608,José Luis Mato Sanmartín,Joselu,Spain,192,24
178509,Olivier Giroud,O. Giroud,France,193,24
184134,Fernando Francisco Reges,Fernando,Brazil,183,24
192318,Mario Götze,M. Götze,Germany,176,24
192366,Nicolás Hernán Gonzalo Otamendi,N. Otamendi,Argentina,183,24
196978,Callum Wilson,C. Wilson,England,180,24
198176,Stefan de Vrij,S. de Vrij,Netherlands,189,24
199434,Dušan Tadić,D. Tadić,Serbia,181,24
199482,Anthony Lopes,A. Lopes,Portugal,184,24
199503,Granit Xhaka,G. Xhaka,Switzerland,185,24
201942,Roberto Firmino Barbosa de Oliveira,Roberto Firmino,Brazil,181,24
204525,Íñigo Martínez Berridi,Iñigo Martínez,Spain,182,24
204639,Stefan Savić,S. Savić,Montenegro,187,24
204963,Daniel Carvajal Ramos,Carvajal,Spain,173,24
207410,Mateo Kovačić,M. Kovačić,Croatia,177,24
209889,Raphaël Adelino José Guerreiro,R. Guerreiro,Portugal,170,24
210047,Fabian Lukas Schär,F. Schär,Switzerland,188,24
210411,Otávio Edmilson da Silva Monteiro,Otávio,Portugal,171,24
211688,José Luís Gayà Peña,Gayà,Spain,172,24
211738,Mark Flekken,M. Flekken,Netherlands,195,24
212096,Vincenzo Grifo,V. Grifo,Italy,180,24
212242,Robert Andrich,R. Andrich,Germany,186,24
212814,João Mário Naval da Costa Eduardo,João Mário,Portugal,179,24
213516,Ricardo Jorge da Luz Horta,Ricardo Horta,Portugal,173,24
214997,Ángel Martín Correa,Á. Correa,Argentina,171,24
216320,Seko Fofana,S. Fofana,Côte d'Ivoire,185,24
219522,Jeremías Conan Ledesma,J. Ledesma,Argentina,186,24
220502,Mattia Zaccagni,M. Zaccagni,Italy,177,24
224987,Ivan Provedel,I. Provedel,Italy,192,24
228618,Ferland Mendy,F. Mendy,France,180,24
230182,Lucas Luciano Mantela Patrício,Lucas Mantela,Brazil,183,24
230375,Josué Durval Chiamulera Vaz,Josué Chiamulera,Brazil,185,24
231591,Javier Galán Gil,Javi Galán,Spain,172,24
232498,Isaac Palazón Camacho,Isi Palazón,Spain,169,24
234642,Édouard Mendy,É. Mendy,Senegal,197,24
241788,Mehdi Taremi,M. Taremi,Iran,185,24
263578,Alejandro Balde Martínez,Balde,Spain,175,24
237678,Ibrahima Konaté,I. Konaté,France,194,24
242444,João Félix Sequeira,João Félix,Portugal,181,24
244675,Oihan Sancet Tirapu,Sancet,Spain,188,24
255475,Antony Matheus dos Santos,Antony,Brazil,172,24
233731,Alexander Isak,A. Isak,Sweden,192,24
246172,Samuel Chimerenka Chukwueze,S. Chukwueze,Nigeria,172,24
253306,Manuel Ugarte Ribeiro,M. Ugarte,Uruguay,182,24
247263,Edmond Fayçal Tapsoba,E. Tapsoba,Burkina Faso,194,24
247394,Dejan Kulusevski,D. Kulusevski,Sweden,186,24
228881,Davide Calabria,D. Calabria,Italy,177,24
229984,Ben Chilwell,B. Chilwell,England,180,24
233064,Mason Mount,M. Mount,England,181,24
233195,Xaver Schlager,X. Schlager,Austria,174,24
233927,Lucas Tolentino Coelho de Lima,Lucas Paquetá,Brazil,180,24
235173,Ibrahim Sangaré,I. Sangaré,Côte d'Ivoire,191,24
235844,Edson Omar Álvarez Velázquez,E. Álvarez,Mexico,187,24
240690,Nicolás Iván González,N. González,Argentina,180,24
243576,Pedro Antonio Porro Sauceda,Pedro Porro,Spain,173,24
243630,Jonathan Christian David,J. David,Canada,175,24
204883,Brice Samba,B. Samba,France,187,24
206585,Kepa Arrizabalaga Revuelta,Kepa,Spain,189,24
211990,Odisseas Vlachodimos,O. Vlachodimos,Greece,190,24
230899,Ademola Lookman,A. Lookman,Nigeria,174,24
251892,Norberto Bercique Gomes Betuncal,Beto,Portugal,194,24
