player_id,player,last_season,country_of_birth,city_of_birth,country_of_citizenship,foot,height_in_cm,highest_market_value_in_eur
212829,Jack O'Connell,2020,England,Liverpool,England,left,190.0,12000000.0
212847,Adam Webster,2024,England,West Wittering,England,right,190.0,25000000.0
212923,Paulinho,2019,Brazil,Ceilndia,Brazil,left,166.0,4000000.0
213260,Rubén García,2024,Spain,Xtiva,Spain,left,172.0,10000000.0
213605,Vitinho,2018,Brazil,Rio de Janeiro,Brazil,right,180.0,8000000.0
213614,Jhon Chancellor,2019,Venezuela,Puerto Ordaz,Venezuela,right,194.0,1800000.0
213670,Lucas Torró,2024,Spain,Cocentaina,Spain,right,190.0,8000000.0
213751,Sebastian Schonlau,2019,Germany,Warburg,Germany,both,188.0,2000000.0
213854,Cedric Gondo,2021,Cote d'Ivoire,Divo,Cote d'Ivoire,right,187.0,900000.0
214070,Ewerton,2022,,So Paulo,,right,181.0,2500000.0
214532,Pierrick Capelle,2024,France,Lesquin,France,left,181.0,2000000.0
214666,Connor Roberts,2023,Wales,Neath,Wales,right,175.0,8000000.0
214775,Óliver Torres,2023,Spain,Navalmoral de la Mata,Spain,right,175.0,17000000.0
214928,Kean Bryan,2020,England,Manchester,England,left,185.0,2000000.0
215118,Calum Chambers,2023,England,Petersfield,England,right,182.0,18000000.0
215599,Lukas Klostermann,2024,Germany,Gevelsberg,Germany,right,189.0,38000000.0
215616,Erick Pulgar,2021,Chile,Antofagasta,Chile,right,187.0,15000000.0
215977,Adrien Thomasson,2024,France,Bourg-Saint-Maurice,France,right,175.0,9000000.0
216179,Stefano Sensi,2024,Italy,Urbino,Italy,right,168.0,30000000.0
216181,Almamy Touré,2022,,Bamako,,right,183.0,8000000.0
216464,Carlos Fernández,2023,Spain,Castilleja de Guzmn,Spain,left,185.0,10000000.0
216499,Fouad Chafik,2020,France,Pierrelatte,Morocco,right,183.0,1500000.0
216804,Joakim Nilsson,2021,Sweden,Hrnsand,Sweden,left,187.0,3500000.0
216870,Nacho Vidal,2023,Spain,El Campello,Spain,right,180.0,5000000.0
216872,Francesco Zampano,2024,Italy,Genova,Italy,right,177.0,2500000.0
